applicant_id,gender,age,age_group,race,income,coapplicant_income,credit_score,loan_amount,loan_term,employment_years,home_ownership,education,self_employed,dependents,property_area,dti,loan_status
L00635,Male,26,Young,African American,41200.0,28600.0,640,235400.0,360,2.1,Mortgage,Graduate,No,0,Semiurban,0.243,1
L00636,Male,62,Senior,Hispanic,40700.0,0.0,649,208400.0,360,11.5,Own,Graduate,No,0,Semiurban,0.368,1
L00637,Male,34,Middle-aged,Caucasian,58200.0,0.0,593,220900.0,120,4.5,Mortgage,Graduate,No,3+,Rural,0.506,0
L00638,Male,50,Middle-aged,Hispanic,48500.0,0.0,629,251000.0,360,7.2,Rent,Undergraduate,No,0,Urban,0.372,0
L00639,Male,43,Middle-aged,Hispanic,60000.0,0.0,660,298100.0,120,9.0,Mortgage,Undergraduate,No,0,Semiurban,0.662,0
L00640,Male,29,Young,Asian,60800.0,15000.0,705,296800.0,360,2.6,Own,Graduate,No,0,Semiurban,0.282,1
L00641,Male,40,Middle-aged,Caucasian,65300.0,0.0,552,247900.0,360,12.9,Mortgage,Graduate,No,3+,Rural,0.273,1
L00642,Male,50,Middle-aged,Caucasian,84200.0,20400.0,704,365700.0,120,11.5,Rent,Graduate,No,0,Urban,0.466,1
L00643,Male,38,Middle-aged,Caucasian,69800.0,0.0,703,330800.0,120,7.3,Mortgage,Graduate,No,1,Semiurban,0.631,1
L00644,Male,55,Middle-aged,Caucasian,46000.0,9900.0,553,220800.0,360,6.2,Mortgage,Undergraduate,No,1,Urban,0.284,0
L00645,Male,53,Middle-aged,Hispanic,28200.0,0.0,614,110100.0,360,11.1,Own,Graduate,No,1,Rural,0.281,1
L00646,Female,52,Middle-aged,Caucasian,81200.0,0.0,602,359800.0,360,5.2,Mortgage,Graduate,No,0,Urban,0.319,1
L00647,Female,35,Middle-aged,Caucasian,37900.0,0.0,631,176200.0,360,10.7,Mortgage,Undergraduate,No,0,Urban,0.334,1
L00648,Female,28,Young,Asian,34500.0,28000.0,571,150800.0,180,3.3,Mortgage,Undergraduate,No,2,Semiurban,0.244,1
L00649,Female,33,Middle-aged,Caucasian,20800.0,0.0,581,66600.0,360,2.9,Mortgage,Graduate,Yes,1,Rural,0.23,1
L00650,Male,43,Middle-aged,Caucasian,56100.0,0.0,607,180200.0,360,4.6,Rent,Graduate,No,0,Rural,0.231,1
L00651,Male,47,Middle-aged,Caucasian,52000.0,10300.0,678,202500.0,360,20.9,Mortgage,Undergraduate,No,0,Urban,0.234,1
L00652,Male,18,Young,African American,21400.0,0.0,580,84800.0,360,7.4,Rent,Graduate,No,0,Semiurban,0.285,0
L00653,Female,40,Middle-aged,Caucasian,50000.0,13800.0,636,275800.0,360,4.7,Own,Undergraduate,No,0,Rural,0.311,1
L00654,Female,42,Middle-aged,Hispanic,30100.0,40500.0,619,195900.0,120,20.1,Mortgage,Graduate,Yes,1,Urban,0.37,1
L00655,Male,37,Middle-aged,Caucasian,143800.0,39700.0,727,501400.0,120,3.6,Mortgage,Graduate,No,0,Semiurban,0.364,1
L00656,Male,56,Senior,Hispanic,35100.0,0.0,619,143500.0,360,12.3,Rent,Graduate,No,2,Semiurban,0.294,1
L00657,Male,46,Middle-aged,Caucasian,41200.0,0.0,727,216000.0,360,9.5,Mortgage,Graduate,No,0,Semiurban,0.377,1
L00658,Male,56,Senior,Caucasian,34500.0,26600.0,560,184300.0,360,14.3,Mortgage,Undergraduate,Yes,0,Semiurban,0.217,1
L00659,Female,38,Middle-aged,Caucasian,69500.0,0.0,532,358800.0,360,5.4,Mortgage,Graduate,No,0,Semiurban,0.371,0
L00660,Female,52,Middle-aged,Caucasian,35900.0,0.0,521,115900.0,360,7.7,Mortgage,Undergraduate,No,0,Semiurban,0.232,0
L00661,Male,60,Senior,Caucasian,36700.0,25300.0,517,170100.0,120,11.2,Mortgage,Graduate,Yes,1,Semiurban,0.366,0
L00662,Female,56,Senior,Caucasian,55300.0,0.0,691,256000.0,360,8.2,Own,Graduate,No,0,Semiurban,0.333,1
L00663,Female,27,Young,Caucasian,24000.0,16900.0,615,136300.0,180,1.6,Rent,Graduate,No,1,Semiurban,0.337,0
L00664,Male,37,Middle-aged,Caucasian,62900.0,15000.0,701,334800.0,180,9.4,Rent,Graduate,No,0,Semiurban,0.435,1
L00665,Male,36,Middle-aged,Caucasian,100000.0,18400.0,593,542800.0,180,7.8,Mortgage,Graduate,Yes,0,Rural,0.464,0
L00666,Male,46,Middle-aged,Caucasian,61500.0,0.0,685,219200.0,360,7.0,Mortgage,Graduate,Yes,0,Rural,0.256,1
L00667,Male,49,Middle-aged,Asian,63300.0,0.0,650,287200.0,120,6.5,Mortgage,Graduate,No,0,Rural,0.604,0
L00668,Male,30,Middle-aged,Hispanic,62500.0,0.0,627,272900.0,360,3.7,Rent,Undergraduate,No,2,Semiurban,0.314,0
L00669,Male,41,Middle-aged,Caucasian,97100.0,0.0,699,479500.0,360,10.2,Rent,Graduate,No,0,Semiurban,0.355,1
L00670,Male,18,Young,Caucasian,79500.0,0.0,568,315400.0,360,6.5,Own,Graduate,No,2,Rural,0.285,1
L00671,Male,58,Senior,Hispanic,52600.0,0.0,807,163900.0,360,14.5,Rent,Graduate,No,0,Semiurban,0.224,1
L00672,Female,34,Middle-aged,Caucasian,59800.0,0.0,701,256700.0,360,9.6,Mortgage,Graduate,No,0,Rural,0.309,1
L00673,Male,41,Middle-aged,Hispanic,31000.0,0.0,577,159900.0,360,10.5,Mortgage,Undergraduate,No,2,Urban,0.371,0
L00674,Male,37,Middle-aged,Caucasian,66900.0,10300.0,566,219600.0,180,4.3,Rent,Graduate,No,3+,Urban,0.288,0
L00675,Male,54,Middle-aged,Hispanic,29500.0,0.0,622,104400.0,180,5.9,Mortgage,Undergraduate,No,0,Semiurban,0.358,1
L00676,Female,18,Young,Caucasian,36000.0,0.0,589,133600.0,360,7.2,Own,Graduate,No,0,Rural,0.267,1
L00677,Male,40,Middle-aged,Hispanic,20000.0,25000.0,662,157400.0,180,3.8,Mortgage,Graduate,No,1,Semiurban,0.354,0
L00678,Male,39,Middle-aged,Caucasian,57600.0,22600.0,557,259600.0,120,23.3,Rent,Undergraduate,No,3+,Urban,0.431,0
L00679,Female,35,Middle-aged,African American,24600.0,0.0,612,87000.0,360,13.0,Mortgage,Undergraduate,No,2,Urban,0.254,0
L00680,Female,61,Senior,Caucasian,65000.0,13800.0,574,322700.0,180,10.3,Mortgage,Graduate,No,0,Urban,0.415,0
L00681,Female,30,Middle-aged,Caucasian,48700.0,0.0,633,151200.0,360,4.0,Mortgage,Graduate,No,1,Semiurban,0.223,1
L00682,Male,50,Middle-aged,Asian,76900.0,0.0,653,260200.0,360,8.5,Mortgage,Graduate,No,1,Urban,0.243,1
L00683,Male,45,Middle-aged,Caucasian,31800.0,48300.0,732,225500.0,360,10.7,Rent,Graduate,No,1,Rural,0.203,1
L00684,Female,56,Senior,Hispanic,55700.0,29800.0,558,272100.0,360,12.8,Mortgage,Graduate,No,1,Semiurban,0.229,1
L00685,Female,32,Middle-aged,Caucasian,96700.0,0.0,730,365600.0,360,2.5,Rent,Graduate,No,0,Semiurban,0.272,1
L00686,Female,32,Middle-aged,Hispanic,49900.0,31100.0,508,215700.0,360,10.3,Mortgage,Undergraduate,No,1,Semiurban,0.192,1
L00687,Female,54,Middle-aged,Caucasian,57200.0,17300.0,570,253200.0,360,10.5,Mortgage,Graduate,No,1,Rural,0.245,1
L00688,Male,46,Middle-aged,Hispanic,47200.0,22000.0,529,282600.0,120,4.4,Mortgage,Graduate,No,1,Semiurban,0.544,0
L00689,Female,22,Young,Hispanic,29800.0,0.0,594,117100.0,360,2.5,Rent,Undergraduate,No,0,Semiurban,0.283,0
L00690,Male,34,Middle-aged,Caucasian,66500.0,0.0,556,287200.0,360,6.0,Mortgage,Graduate,No,0,Rural,0.311,1
L00691,Male,45,Middle-aged,Hispanic,24200.0,0.0,528,81500.0,360,5.1,Rent,Graduate,No,0,Urban,0.242,0
L00692,Male,51,Middle-aged,Asian,41500.0,0.0,644,131000.0,360,5.8,Rent,Graduate,No,0,Urban,0.227,1
L00693,Male,32,Middle-aged,Caucasian,24100.0,0.0,617,120000.0,360,2.2,Rent,Undergraduate,No,0,Semiurban,0.358,0
L00694,Male,18,Young,African American,29600.0,30100.0,576,171000.0,180,12.1,Rent,Graduate,Yes,2,Semiurban,0.29,0
L00695,Male,47,Middle-aged,Caucasian,63400.0,23800.0,634,288300.0,180,4.6,Mortgage,Undergraduate,No,1,Urban,0.335,1
L00696,Female,26,Young,Asian,51000.0,49100.0,712,384000.0,180,3.5,Own,Graduate,No,1,Semiurban,0.388,1
L00697,Male,18,Young,Caucasian,50000.0,0.0,598,229600.0,180,1.2,Mortgage,Graduate,No,3+,Semiurban,0.465,0
L00698,Female,18,Young,Caucasian,44600.0,0.0,634,209700.0,360,6.8,Mortgage,Graduate,Yes,0,Rural,0.338,0
L00699,Male,50,Middle-aged,Caucasian,23100.0,0.0,625,104700.0,360,10.9,Mortgage,Graduate,No,0,Semiurban,0.326,1
L00700,Male,42,Middle-aged,Caucasian,42200.0,0.0,553,136600.0,360,11.8,Mortgage,Graduate,No,0,Semiurban,0.233,1
L00701,Male,38,Middle-aged,Hispanic,33600.0,19900.0,639,227900.0,360,7.8,Mortgage,Graduate,No,0,Urban,0.306,1
L00702,Male,57,Senior,Hispanic,33900.0,0.0,596,171000.0,360,10.3,Mortgage,Graduate,No,0,Semiurban,0.363,0
L00703,Male,48,Middle-aged,Caucasian,62300.0,17100.0,639,252200.0,360,7.1,Mortgage,Undergraduate,Yes,2,Semiurban,0.229,1
L00704,Male,60,Senior,Caucasian,34700.0,0.0,659,166900.0,360,11.4,Mortgage,Graduate,No,0,Semiurban,0.346,1
L00705,Male,24,Young,African American,30800.0,0.0,467,120800.0,360,1.5,Mortgage,Graduate,No,0,Rural,0.282,0
L00706,Female,40,Middle-aged,Caucasian,20000.0,30200.0,502,163900.0,120,9.1,Rent,Graduate,No,0,Rural,0.435,0
L00707,Male,21,Young,Caucasian,43600.0,0.0,643,147000.0,360,1.0,Mortgage,Graduate,No,0,Rural,0.243,1
L00708,Female,38,Middle-aged,Caucasian,27000.0,0.0,561,113700.0,360,12.9,Rent,Graduate,No,1,Urban,0.303,0
L00709,Male,38,Middle-aged,Caucasian,50600.0,0.0,583,166200.0,360,6.5,Rent,Graduate,No,0,Semiurban,0.236,1
L00710,Female,48,Middle-aged,Caucasian,28500.0,11700.0,627,146100.0,360,8.3,Rent,Graduate,No,1,Urban,0.261,1
L00711,Female,41,Middle-aged,Asian,43400.0,35000.0,596,220200.0,120,7.8,Mortgage,Undergraduate,No,0,Rural,0.374,0
L00712,Female,48,Middle-aged,Caucasian,39300.0,11500.0,651,182600.0,360,12.0,Rent,Graduate,No,0,Semiurban,0.259,1
L00713,Male,49,Middle-aged,Hispanic,86100.0,30300.0,662,460500.0,180,7.9,Mortgage,Graduate,Yes,0,Urban,0.401,1
L00714,Male,66,Senior,Caucasian,59800.0,15900.0,681,339600.0,360,10.0,Rent,Graduate,No,0,Semiurban,0.323,1
L00715,Male,37,Middle-aged,Caucasian,23500.0,28000.0,555,129600.0,360,4.6,Mortgage,Graduate,No,2,Urban,0.181,1
L00716,Female,29,Young,Hispanic,22200.0,0.0,595,111200.0,180,2.3,Rent,Graduate,No,0,Rural,0.507,0
L00717,Female,43,Middle-aged,Caucasian,42600.0,0.0,687,165200.0,360,4.8,Rent,Graduate,Yes,3+,Semiurban,0.279,1
L00718,Female,31,Middle-aged,Caucasian,28700.0,0.0,558,140600.0,360,2.0,Mortgage,Graduate,No,2,Semiurban,0.352,0
L00719,Male,58,Senior,African American,20000.0,34700.0,680,159900.0,360,16.2,Mortgage,Undergraduate,Yes,0,Semiurban,0.21,1
L00720,Female,37,Middle-aged,Caucasian,71500.0,0.0,632,353200.0,360,10.1,Mortgage,Undergraduate,No,0,Semiurban,0.355,0
L00721,Female,34,Middle-aged,Asian,55600.0,0.0,662,249700.0,180,3.6,Mortgage,Graduate,No,0,Rural,0.455,1
L00722,Male,35,Middle-aged,Caucasian,60400.0,23800.0,631,302900.0,360,2.6,Mortgage,Graduate,No,0,Urban,0.259,1
L00723,Male,49,Middle-aged,African American,30800.0,0.0,619,114100.0,360,8.0,Mortgage,Graduate,No,1,Urban,0.267,1
L00724,Female,39,Middle-aged,Caucasian,49400.0,12100.0,642,289300.0,360,5.8,Mortgage,Graduate,No,0,Semiurban,0.338,0
L00725,Female,33,Middle-aged,Caucasian,31400.0,14100.0,670,186900.0,360,9.7,Mortgage,Graduate,No,0,Urban,0.296,1
L00726,Female,60,Senior,Hispanic,39900.0,0.0,659,153900.0,360,8.9,Mortgage,Graduate,No,1,Semiurban,0.278,1
L00727,Male,30,Middle-aged,Asian,33900.0,15300.0,623,142000.0,360,11.8,Rent,Graduate,No,1,Semiurban,0.208,1
L00728,Female,41,Middle-aged,Caucasian,76400.0,8500.0,623,384800.0,180,4.0,Mortgage,Graduate,No,1,Semiurban,0.459,1
L00729,Male,48,Middle-aged,Caucasian,26200.0,0.0,710,137000.0,360,6.8,Own,Graduate,Yes,2,Semiurban,0.376,1
L00730,Male,21,Young,Caucasian,80300.0,38700.0,657,366200.0,360,14.0,Own,Graduate,No,1,Urban,0.221,1
L00731,Male,46,Middle-aged,African American,39800.0,23300.0,628,264300.0,360,4.3,Mortgage,Graduate,No,3+,Semiurban,0.301,1
L00732,Female,28,Young,Asian,34300.0,0.0,585,112600.0,180,4.0,Rent,Graduate,Yes,1,Semiurban,0.332,0
L00733,Female,50,Middle-aged,African American,34100.0,0.0,683,175400.0,360,6.3,Own,Undergraduate,No,0,Urban,0.37,1
L00734,Male,29,Young,Caucasian,65700.0,0.0,582,307300.0,360,5.4,Mortgage,Graduate,No,0,Urban,0.337,0
L00735,Male,49,Middle-aged,Asian,84700.0,0.0,557,320200.0,180,6.3,Rent,Graduate,No,0,Semiurban,0.383,0
L00736,Female,54,Middle-aged,Caucasian,47200.0,0.0,646,174000.0,360,15.6,Own,Graduate,No,0,Semiurban,0.265,1
L00737,Male,51,Middle-aged,Caucasian,34300.0,12500.0,698,182200.0,360,18.8,Mortgage,Graduate,No,0,Semiurban,0.28,1
L00738,Female,44,Middle-aged,Caucasian,42600.0,0.0,718,184700.0,180,13.4,Rent,Graduate,Yes,0,Semiurban,0.439,1
L00739,Male,38,Middle-aged,Hispanic,91200.0,45600.0,646,585400.0,360,5.5,Own,Graduate,No,1,Urban,0.308,1
L00740,Male,34,Middle-aged,Asian,84000.0,0.0,643,396800.0,360,25.4,Mortgage,Graduate,No,0,Semiurban,0.34,1
L00741,Male,58,Senior,Caucasian,70500.0,0.0,697,297200.0,360,12.6,Mortgage,Graduate,No,0,Rural,0.303,1
L00742,Male,32,Middle-aged,African American,53900.0,15500.0,598,316200.0,360,4.3,Mortgage,Undergraduate,No,0,Urban,0.328,0
L00743,Female,28,Young,Hispanic,48600.0,25000.0,634,268400.0,360,2.0,Own,Graduate,No,0,Semiurban,0.262,1
L00744,Male,48,Middle-aged,Caucasian,77900.0,0.0,652,382600.0,360,10.0,Mortgage,Undergraduate,No,1,Urban,0.353,1
L00745,Male,31,Middle-aged,Caucasian,40800.0,0.0,662,199600.0,360,8.5,Rent,Undergraduate,No,2,Semiurban,0.352,0
L00746,Female,29,Young,Hispanic,21400.0,14600.0,626,147900.0,360,2.3,Mortgage,Undergraduate,No,0,Semiurban,0.296,0
L00747,Male,23,Young,Hispanic,45400.0,0.0,642,143100.0,360,4.7,Rent,Graduate,No,0,Urban,0.227,1
L00748,Male,35,Middle-aged,Caucasian,35300.0,0.0,591,152300.0,360,24.3,Mortgage,Undergraduate,No,0,Urban,0.31,1
L00749,Female,40,Middle-aged,Caucasian,27300.0,0.0,720,110700.0,360,5.3,Mortgage,Graduate,No,0,Semiurban,0.292,1
L00750,Female,43,Middle-aged,Caucasian,31200.0,8000.0,641,145500.0,360,5.5,Rent,Graduate,No,0,Semiurban,0.267,1
L00751,Male,52,Middle-aged,Caucasian,132500.0,0.0,721,534600.0,180,16.8,Mortgage,Undergraduate,Yes,2,Semiurban,0.409,1
L00752,Female,47,Middle-aged,Hispanic,38800.0,0.0,578,189500.0,360,5.0,Mortgage,Graduate,No,0,Semiurban,0.351,0
L00753,Female,38,Middle-aged,Caucasian,48200.0,0.0,612,179100.0,360,16.6,Mortgage,Graduate,No,0,Urban,0.267,1
L00754,Male,38,Middle-aged,Hispanic,27100.0,11100.0,608,133400.0,360,10.6,Mortgage,Graduate,No,1,Semiurban,0.251,1
L00755,Male,47,Middle-aged,Caucasian,23400.0,0.0,564,80800.0,360,6.8,Mortgage,Graduate,No,0,Semiurban,0.248,0
L00756,Female,56,Senior,Caucasian,30000.0,0.0,613,107000.0,180,6.1,Rent,Undergraduate,No,3+,Semiurban,0.361,0
L00757,Female,42,Middle-aged,Caucasian,74100.0,0.0,635,332400.0,360,3.7,Rent,Graduate,No,2,Semiurban,0.323,0
L00758,Male,35,Middle-aged,Asian,56000.0,0.0,623,182700.0,360,4.9,Mortgage,Graduate,No,1,Semiurban,0.235,1
L00759,Female,29,Young,Caucasian,52900.0,17600.0,503,213200.0,360,7.8,Rent,Undergraduate,No,0,Semiurban,0.218,0
L00760,Female,23,Young,African American,42800.0,34500.0,583,256300.0,120,4.1,Rent,Graduate,No,0,Semiurban,0.442,0
L00761,Male,48,Middle-aged,Caucasian,38700.0,26200.0,603,163200.0,360,11.2,Mortgage,Undergraduate,No,0,Semiurban,0.181,1
L00762,Male,47,Middle-aged,Caucasian,85400.0,23600.0,660,321900.0,360,9.9,Mortgage,Graduate,No,0,Semiurban,0.212,1
L00763,Male,47,Middle-aged,Caucasian,38100.0,8100.0,686,209700.0,360,8.6,Rent,Graduate,No,0,Rural,0.327,1
L00764,Female,39,Middle-aged,Caucasian,73100.0,0.0,763,358500.0,360,20.3,Own,Graduate,No,0,Semiurban,0.353,1
L00765,Male,57,Senior,African American,46800.0,41600.0,686,260900.0,360,12.4,Mortgage,Graduate,No,1,Semiurban,0.212,1
L00766,Female,35,Middle-aged,Caucasian,20400.0,0.0,517,77200.0,180,14.9,Mortgage,Graduate,No,0,Urban,0.383,0
L00767,Female,52,Middle-aged,African American,23600.0,24600.0,599,187500.0,360,6.5,Rent,Graduate,No,1,Semiurban,0.28,0
L00768,Female,40,Middle-aged,Caucasian,20400.0,0.0,635,62400.0,360,9.6,Rent,Graduate,No,0,Semiurban,0.22,1
L00769,Male,33,Middle-aged,Caucasian,78100.0,20700.0,663,383800.0,360,6.8,Rent,Graduate,No,3+,Semiurban,0.279,1
L00770,Female,48,Middle-aged,Caucasian,41300.0,0.0,687,179400.0,360,17.4,Mortgage,Graduate,No,2,Urban,0.313,1
L00771,Male,45,Middle-aged,Caucasian,20100.0,38800.0,600,194700.0,360,7.6,Mortgage,Graduate,No,0,Semiurban,0.238,1
L00772,Female,45,Middle-aged,Asian,48400.0,41100.0,607,361500.0,360,5.7,Mortgage,Undergraduate,No,1,Semiurban,0.291,0
L00773,Male,41,Middle-aged,African American,31600.0,39200.0,714,199600.0,180,5.9,Rent,Graduate,No,1,Rural,0.285,1
L00774,Male,40,Middle-aged,Caucasian,27100.0,19500.0,608,149400.0,120,4.5,Rent,Graduate,No,2,Rural,0.427,0
L00775,Female,69,Senior,Caucasian,81500.0,0.0,630,367600.0,360,8.9,Rent,Graduate,No,1,Semiurban,0.325,1
L00776,Male,55,Middle-aged,Hispanic,46100.0,0.0,730,238600.0,360,8.7,Own,Graduate,No,0,Semiurban,0.372,1
L00777,Male,49,Middle-aged,African American,34900.0,13300.0,534,210100.0,360,15.8,Mortgage,Graduate,No,0,Urban,0.314,0
L00778,Female,42,Middle-aged,African American,27200.0,36100.0,398,209100.0,360,4.7,Mortgage,Graduate,No,1,Urban,0.238,0
L00779,Female,53,Middle-aged,Caucasian,22700.0,0.0,666,111900.0,360,6.9,Own,Graduate,Yes,3+,Urban,0.355,1
L00780,Female,47,Middle-aged,Caucasian,24700.0,0.0,667,78800.0,360,13.9,Mortgage,Graduate,No,2,Semiurban,0.23,1
L00781,Female,41,Middle-aged,Hispanic,61500.0,0.0,658,236700.0,120,5.5,Own,Graduate,No,0,Urban,0.513,1
L00782,Male,37,Middle-aged,Asian,40600.0,0.0,532,123000.0,120,19.3,Rent,Undergraduate,No,2,Rural,0.404,0
L00783,Male,40,Middle-aged,Caucasian,49500.0,0.0,619,168300.0,360,4.9,Rent,Undergraduate,No,0,Semiurban,0.245,1
L00784,Male,18,Young,Asian,21600.0,0.0,550,95400.0,360,2.9,Mortgage,Graduate,No,0,Rural,0.318,0
L00785,Male,43,Middle-aged,Asian,28900.0,0.0,578,144300.0,360,4.3,Mortgage,Graduate,No,0,Rural,0.359,1
L00786,Female,35,Middle-aged,Caucasian,53200.0,0.0,702,235300.0,360,26.8,Mortgage,Undergraduate,No,1,Rural,0.318,1
L00787,Female,60,Senior,Caucasian,48500.0,0.0,589,218000.0,360,17.3,Own,Undergraduate,No,1,Semiurban,0.323,1
L00788,Male,41,Middle-aged,Caucasian,98800.0,0.0,682,319500.0,180,12.0,Mortgage,Undergraduate,No,0,Rural,0.327,1
L00789,Male,26,Young,Caucasian,83900.0,0.0,700,377200.0,360,2.1,Rent,Graduate,Yes,2,Semiurban,0.323,1
L00790,Female,40,Middle-aged,African American,29100.0,11100.0,629,140900.0,360,20.7,Own,Graduate,No,0,Urban,0.252,1
L00791,Male,28,Young,Caucasian,59200.0,0.0,686,264400.0,360,14.7,Own,Graduate,No,1,Semiurban,0.321,1
L00792,Female,46,Middle-aged,Asian,36700.0,58300.0,655,253100.0,360,7.1,Mortgage,Graduate,No,0,Rural,0.192,1
L00793,Male,44,Middle-aged,Hispanic,100400.0,22300.0,695,483800.0,360,9.6,Rent,Graduate,No,0,Rural,0.284,1
L00794,Female,52,Middle-aged,Caucasian,66000.0,0.0,675,261000.0,360,29.5,Rent,Graduate,No,0,Urban,0.285,1
L00795,Male,31,Middle-aged,Caucasian,52500.0,0.0,648,223500.0,360,4.6,Rent,Undergraduate,No,1,Urban,0.306,0
L00796,Female,41,Middle-aged,Asian,45100.0,0.0,597,150200.0,360,4.0,Mortgage,Graduate,No,2,Urban,0.24,1
L00797,Female,24,Young,Asian,74300.0,0.0,540,289100.0,360,11.0,Own,Graduate,No,0,Semiurban,0.28,1
L00798,Female,49,Middle-aged,Asian,52500.0,0.0,695,201700.0,360,7.9,Rent,Undergraduate,No,0,Rural,0.276,1
L00799,Female,47,Middle-aged,Caucasian,77700.0,0.0,725,361800.0,180,26.1,Own,Graduate,No,0,Semiurban,0.472,1
L00800,Female,46,Middle-aged,Caucasian,20000.0,13000.0,623,123600.0,360,8.2,Mortgage,Graduate,No,1,Semiurban,0.269,1
L00801,Female,41,Middle-aged,Caucasian,50100.0,0.0,591,252800.0,360,3.6,Mortgage,Graduate,No,0,Urban,0.363,0
L00802,Male,45,Middle-aged,Hispanic,35900.0,11900.0,525,186800.0,180,7.4,Mortgage,Undergraduate,No,0,Rural,0.396,0
L00803,Female,60,Senior,Caucasian,84100.0,0.0,685,311800.0,360,12.6,Mortgage,Graduate,No,2,Rural,0.267,1
L00804,Female,37,Middle-aged,Hispanic,68200.0,11600.0,552,354200.0,360,3.0,Rent,Graduate,Yes,0,Semiurban,0.319,0
L00805,Male,42,Middle-aged,Caucasian,49700.0,0.0,536,204700.0,360,6.3,Mortgage,Undergraduate,No,1,Semiurban,0.296,1
L00806,Female,27,Young,Hispanic,68000.0,0.0,616,233600.0,360,2.2,Rent,Graduate,No,0,Rural,0.247,0
L00807,Female,30,Middle-aged,African American,65000.0,0.0,574,304300.0,180,7.0,Rent,Graduate,No,1,Semiurban,0.474,0
L00808,Female,42,Middle-aged,Caucasian,42900.0,23600.0,641,183000.0,360,19.4,Mortgage,Graduate,No,2,Semiurban,0.198,1
L00809,Male,54,Middle-aged,African American,105400.0,0.0,678,358400.0,180,10.3,Own,Undergraduate,No,0,Semiurban,0.344,1
L00810,Male,37,Middle-aged,Caucasian,48400.0,22000.0,580,283100.0,360,8.8,Mortgage,Graduate,No,2,Urban,0.289,1
L00811,Female,38,Middle-aged,Caucasian,38200.0,11900.0,508,210800.0,360,5.5,Rent,Graduate,Yes,0,Semiurban,0.303,0
L00812,Female,36,Middle-aged,Caucasian,58900.0,18400.0,572,328400.0,360,6.8,Mortgage,Graduate,No,3+,Semiurban,0.306,0
L00813,Male,34,Middle-aged,Caucasian,42600.0,0.0,559,155900.0,360,6.3,Rent,Graduate,Yes,0,Rural,0.263,1
L00814,Female,44,Middle-aged,Caucasian,43100.0,11100.0,549,242600.0,360,11.0,Rent,Graduate,No,2,Semiurban,0.322,0
L00815,Female,23,Young,Asian,73200.0,29600.0,596,411700.0,360,10.5,Rent,Graduate,No,0,Urban,0.288,1
L00816,Male,56,Senior,African American,39500.0,0.0,569,192600.0,180,11.1,Rent,Graduate,No,0,Semiurban,0.494,0
L00817,Female,33,Middle-aged,Caucasian,21200.0,0.0,579,97400.0,360,21.8,Mortgage,Undergraduate,No,1,Semiurban,0.331,0
L00818,Male,49,Middle-aged,Hispanic,51100.0,21400.0,651,269100.0,180,13.5,Mortgage,Graduate,No,1,Urban,0.376,1
L00819,Male,25,Young,African American,29700.0,18200.0,534,127900.0,360,1.7,Own,Graduate,No,1,Semiurban,0.192,0
L00820,Male,49,Middle-aged,Hispanic,62400.0,0.0,671,287000.0,360,8.2,Own,Graduate,No,0,Semiurban,0.331,1
L00821,Female,49,Middle-aged,African American,42100.0,11600.0,548,219900.0,360,16.3,Rent,Graduate,No,1,Urban,0.295,0
L00822,Male,45,Middle-aged,Caucasian,88300.0,0.0,594,327000.0,360,18.5,Rent,Undergraduate,No,0,Semiurban,0.266,1
L00823,Male,29,Young,Caucasian,70500.0,0.0,616,328200.0,360,4.0,Rent,Graduate,No,1,Urban,0.335,1
L00824,Male,43,Middle-aged,African American,60700.0,0.0,677,257300.0,360,10.2,Mortgage,Graduate,No,0,Semiurban,0.305,1
L00825,Male,26,Young,Caucasian,37500.0,0.0,644,159700.0,360,3.8,Mortgage,Undergraduate,No,0,Semiurban,0.306,1
L00826,Female,37,Middle-aged,Caucasian,57500.0,19000.0,721,258800.0,120,3.5,Mortgage,Graduate,No,2,Semiurban,0.451,1
L00827,Male,53,Middle-aged,Caucasian,107700.0,0.0,666,351400.0,360,16.0,Mortgage,Undergraduate,Yes,2,Urban,0.235,1
L00828,Male,50,Middle-aged,Caucasian,37200.0,0.0,620,129800.0,120,18.2,Mortgage,Graduate,No,0,Urban,0.465,0
L00829,Female,41,Middle-aged,Caucasian,85600.0,0.0,591,404900.0,360,7.0,Rent,Graduate,No,0,Urban,0.34,0
L00830,Male,29,Young,Caucasian,39400.0,0.0,522,142300.0,360,1.7,Rent,Undergraduate,Yes,0,Urban,0.26,0
L00831,Male,48,Middle-aged,Caucasian,34900.0,17900.0,636,133600.0,360,13.0,Rent,Graduate,No,0,Urban,0.182,1
L00832,Male,41,Middle-aged,African American,44100.0,25800.0,573,303400.0,360,6.7,Mortgage,Graduate,No,0,Urban,0.312,0
L00833,Male,18,Young,Caucasian,65300.0,0.0,676,226900.0,360,0.4,Mortgage,Graduate,Yes,2,Semiurban,0.25,1
L00834,Male,50,Middle-aged,Caucasian,70600.0,23900.0,566,372900.0,360,5.8,Rent,Graduate,No,2,Semiurban,0.284,0
L00835,Male,40,Middle-aged,Caucasian,33400.0,0.0,638,169900.0,360,4.1,Mortgage,Undergraduate,No,0,Urban,0.366,1
L00836,Male,55,Middle-aged,Caucasian,58300.0,32700.0,591,329400.0,120,11.3,Rent,Graduate,No,2,Urban,0.482,0
